,horizon,mse,rmse,mae,mape,mdape,coverage
0,8 days 08:00:00.000000000,1548836.7308242673,1244.5226919683978,976.2745692505497,0.07123736931332743,0.05979003122214561,0.8253523865072423
1,8 days 09:00:00.000000000,1548594.9309291148,1244.4255425412623,977.3540399093055,0.07143450093468978,0.05979617659687578,0.8258967629046365
2,8 days 10:00:00.000000000,1549972.4502410428,1244.9788955002582,978.5074453948059,0.07159989019020876,0.05979617659687578,0.8256051326917464
3,8 days 11:00:00.000000000,1551423.0650704005,1245.5613453661767,979.5121470587263,0.07171528901551368,0.05979617659687578,0.8248274521240395
4,8 days 12:00:00.000000000,1557049.8670511984,1247.8180424449706,982.4108087473608,0.07188550675886152,0.05993378224569441,0.8225721784776903
5,8 days 13:00:00.000000000,1557890.3737248548,1248.1547875663719,983.2876700115954,0.07190421558500767,0.05993378224569441,0.822503247700098
6,8 days 14:00:00.000000000,1559080.8767525116,1248.6316016954368,984.3633158070305,0.07193165188189185,0.06009699535224456,0.8226888305628467
7,8 days 15:00:00.000000000,1561568.4937350487,1249.627341944409,985.922114079308,0.07196520091860924,0.06009699535224456,0.8224360843783423
8,8 days 16:00:00.000000000,1565601.663319013,1251.2400502377684,987.3054320545043,0.07200118574435078,0.06009699535224456,0.8218301416026703
9,8 days 17:00:00.000000000,1571124.2952548347,1253.444970971935,988.9269549503418,0.07206367195223234,0.06009699535224456,0.8214737046758044
10,8 days 18:00:00.000000000,1575206.2177093423,1255.0721962139637,989.7434058248224,0.07203655410097155,0.06009699535224456,0.8212695635267815
11,8 days 19:00:00.000000000,1580407.3473203299,1257.1425326192452,991.3195784533082,0.07210159357853255,0.06009699535224456,0.820647419072617
12,8 days 20:00:00.000000000,1584889.1156670917,1258.9237926368266,992.2223456052399,0.07214984871538828,0.06012691324202263,0.8204088125347964
13,8 days 21:00:00.000000000,1586643.1106710846,1259.6202247785181,992.3482693004219,0.0721428228116489,0.06012691324202263,0.8207640711577724
14,8 days 22:00:00.000000000,1588742.3958016678,1260.4532501452277,993.1836127839388,0.07219255924322052,0.06012691324202263,0.8205113249732665
15,8 days 23:00:00.000000000,1591024.1303122225,1261.3580500049234,994.4818675580185,0.07227696700794413,0.06012691324202263,0.8194160915070806
16,9 days 00:00:00.000000000,1593853.401258001,1262.4790696316518,995.6303179043766,0.07233117579289991,0.060271971037023364,0.8181977252843391
17,9 days 01:00:00.000000000,1593805.3030736432,1262.460020386247,995.4506867651731,0.07232408573804691,0.06030112327689134,0.8179838631282206
18,9 days 02:00:00.000000000,1590874.58875862,1261.2987706164706,994.304164137476,0.0722461354844257,0.06030112327689134,0.8186325194199203
19,9 days 03:00:00.000000000,1586573.3964823617,1259.5925517731366,992.5955261684911,0.07213612904232276,0.060271971037023364,0.8192864780791292
20,9 days 04:00:00.000000000,1581373.0394514725,1257.5265561615279,990.8391396577848,0.07202981188515235,0.06012691324202263,0.8200641586468358
21,9 days 05:00:00.000000000,1576546.666517265,1255.6060952851674,988.9658282026259,0.0719439643966197,0.06009699535224456,0.8206150157156282
22,9 days 06:00:00.000000000,1572112.3710960147,1253.8390531069028,987.547894675311,0.07192182889149733,0.06012691324202263,0.8209876543209873
23,9 days 07:00:00.000000000,1568211.6048246985,1252.2825579016496,986.2347336720284,0.07189667089192818,0.06012691324202263,0.8215806357538638
24,9 days 08:00:00.000000000,1566402.6328928657,1251.5600796177807,985.5684027454811,0.07193296874078316,0.06012691324202263,0.8221055701370659
25,9 days 09:00:00.000000000,1569913.2648091698,1252.9617970270162,986.8929950890944,0.07215429701784334,0.06030112327689134,0.8217078925740334
26,9 days 10:00:00.000000000,1568882.3691895367,1252.550345969988,986.9315349754993,0.07224217308356996,0.06030112327689134,0.8221379734940542
27,9 days 11:00:00.000000000,1566389.3396904422,1251.5547689535772,986.62667864717,0.07227678381629535,0.06030112327689134,0.8229804607757364
28,9 days 12:00:00.000000000,1570161.0757684645,1253.0606831947384,988.892140424247,0.0724679394947559,0.060421173483304516,0.823174880917664
29,9 days 13:00:00.000000000,1570028.7600353542,1253.0078850651157,989.4852404969627,0.07252476181666619,0.06057020781103327,0.8235637212015164
30,9 days 14:00:00.000000000,1570292.9321582625,1253.1132958189623,989.9095101676696,0.07254841184703034,0.060601007942627357,0.8238164673860202
31,9 days 15:00:00.000000000,1575251.6768759629,1255.0903062632437,992.1670764056611,0.07265796071183983,0.06068354652186338,0.8224104562687234
32,9 days 16:00:00.000000000,1582176.0425635807,1257.8457944293414,994.7927361833704,0.072795205546141,0.060784245033502424,0.821721148492802
33,9 days 17:00:00.000000000,1591053.352814662,1261.3696336976968,997.5824034249168,0.07293224108879068,0.06084816638679404,0.8207835131719644
34,9 days 18:00:00.000000000,1601664.9668695878,1265.5690288836827,1000.6705498437695,0.07304214658253141,0.06091809271153842,0.820200252746184
